#ch;nom;raw;cal
0;55;54.923949;54.9171295454596
1;55;54.9231476;54.9075960673218
2;55;54.9608134;54.9423279123731
3;55;54.9203427;54.8999754321358
4;55;54.9419805;54.9419351881767
5;55;54.831788;54.8062919657049
6;55;54.8890881;54.8554654538227
7;55;54.8926944;54.8615719698501
0;50;49.9340319;49.9279559431075
1;50;49.9316277;49.9177483264883
2;50;50.0402174;50.0236115800451
3;50;49.931227;49.912835421953
4;50;49.9656872;49.9658110821489
5;50;49.8386653;49.8158006413678
6;50;49.8987703;49.8684562345241
7;50;49.9035787;49.8756143800882
0;45;44.9457176;44.9403849019382
1;45;44.9389057;44.9266988883583
2;45;45.0398821;45.0251864081297
3;45;44.9312924;44.9148807960546
4;45;44.9673554;44.9676492254301
5;45;44.8511524;44.830916160666
6;45;44.9052469;44.8782435405383
7;45;44.9120588;44.8872541121849
0;40;39.9501907;39.9456023354463
1;40;39.9473858;39.9368511475248
2;40;40.0467594;40.0339710810011
3;40;39.9425774;39.9281413271946
4;40;39.9746334;39.9750969779781
5;40;39.8676465;39.8500365682754
6;40;39.9185354;39.8948382302627
7;40;39.9225424;39.9008960760661
0;35;34.9502561;34.9464127257017
1;35;34.9514582;34.9425971832708
2;35;35.0464241;35.0355459090857
3;35;34.9462491;34.9337915732014
4;35;34.9783051;34.9789385531403
5;35;34.8813357;34.866353554067
6;35;34.9282176;34.9078290109642
7;35;34.9334267;34.9149384863042
0;30;29.9383005;29.9352039070861
1;30;29.952325;29.9451386928928
2;30;30.0496951;30.0407256595637
3;30;29.9487187;29.9382401952398
4;30;29.980374;29.9811773827977
5;30;29.8769934;29.8646485424591
6;30;29.9527257;29.9356358620939
7;30;29.9378998;29.9225737548319
0;25;24.9439757;24.9416232614813
1;25;24.9592023;24.9536886889973
2;25;25.0493598;25.0423004876483
3;25;24.9531918;24.9446915238922
4;25;24.9820422;24.9830155260789
5;25;24.8906826;24.8809655282507
6;25;24.9535925;24.9398170874055
7;25;24.9411708;24.9290076842889
0;20;19.9396334;19.938026608484
1;20;19.95486;19.9510228436678
2;20;20.0534322;20.0482813319915
3;20;19.9636754;19.9571509723866
4;20;19.9985363;19.9996790652795
5;20;19.9023683;19.8952800698868
6;20;19.9580656;19.9476022217402
7;20;19.9584663;19.9494572362374
0;15;14.9525212;14.9516574882018
1;15;14.970152;14.9679847208478
2;15;15.0611109;15.0578670987281
3;15;14.9729569;14.9684087969126
4;15;15.0050129;15.0063254450751
5;15;14.9088449;14.9043882567186
6;15;14.9689499;14.9617943054493
7;15;14.9733576;14.9675041100445
0;10;9.9569943;9.95687492170994
1;10;9.9794335;9.97893811154531
2;10;10.0719952;10.0706572409255
3;10;9.9782314;9.97566120821064
4;10;10.0110888;10.0125711384945
5;10;9.9177257;9.91589937653696
6;10;9.9794335;9.97558595482245
7;10;9.9850433;9.98234741299638
