Short Name;Tree Name;Type;Description;Remarks
FEB-ADDR;GPIO.GPIO-MISC.FEB-ADDR;Byte;FEB address set
FEB-EN;GPIO.GPIO-MISC.FEB-EN;Bool;FEB Enable
FEB-RPROG-RX;GPIO.GPIO-MISC.FEB-RPROG-RX;Bool;FEB RPROG RX input
FEB-SEL-IN;GPIO.GPIO-MISC.FEB-SEL-IN;Bool;FEB SEL IN
FEB-TRIGIN;GPIO.GPIO-MISC.FEB-TRIGIN;Bool;FEB Trigger input
HVAB-SW;GPIO.GPIO-MISC.HVAB-SW;Bool;HV A (1) or B (0) selection
HV-Short;GPIO.GPIO-MISC.HV-Short;Bool;HV, Short circuit enable
KAL-EN;GPIO.GPIO-MISC.KAL-EN;UInt32;Kaladin Mux Enable
KAL-MUX;GPIO.GPIO-MISC.KAL-MUX;Byte;Kaladin Mux selection
PMB-RESET;GPIO.GPIO-MISC.PMB-RESET;Bool;PMB Reset
TSEN-SW;GPIO.GPIO-MISC.TSEN-SW;Byte;Temperature Sensor Switch
